raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
-3.55556,28.8,39.7,-6.33333,6.3,-2.88889,17.6,22.7,23.4,25.6,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
29.8,12.6,26.3,-5.55556,-2.77778,0,19,-18.5556,15.1,5.6,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
22,0.6,-9.55556,-8.44444,24.3,8.3,-48.8889,7.4,33.3,3.6,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
26.2,8.8,-4.33333,-0.666667,2.1,27.7,-3.22222,36.4,31.4,-1.66667,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
-6,18.5,34.3,-8,14.8,-3.66667,28.6,21.6,-6.33333,13.4,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
17.9,-8.22222,24.4,26.1,0,21.9,10.9,13.8,30.4,-1.55556,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
-2.77778,-76.3333,23,-3.22222,-8.22222,35.3,10.8,10.9,-1.88889,23.8,,39.3,37.3,41.3,47.9,40.4,35.3,33.1,37.5,43.3,34,,38.94,4.285370462
19,26.9,34.1,12.6,-20.4444,7.6,9.8,9.2,11.7,6.8,,39.3,37.3,41.3,47.9,40.4,35.3,33.1,37.5,43.3,34,,38.94,4.285370462
-0.222222,25.6,35.5,34.4,9.6,35.8,16,9.1,21.6,7,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
33.8,7.9,-1.55556,0,-6.77778,23.1,18.6,3,26.6,17.5,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
13.4,12.1,1.3,-4,-5.22222,17.9,5.4,-8.33333,18,21.6,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
0,34.2,33.6,0,6.1,22.3,-5.88889,17.6,18.9,33.7,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
36.3,22.8,11.8,8.6,18.9,-0.333333,-49,18,31.9,10.3,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
-3.22222,-1.77778,5.6,11.5,14.2,2.3,11.7,-23.7778,-99.8889,21.7,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
-49.6667,20.7,26.1,12,20.9,-7.11111,9.5,4.3,33.7,25.4,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
25,8.6,-0.555556,17.3,10.3,-1.77778,18.3,-9.11111,23,14.1,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
12.4,27.2,1.6,7.4,-4.66667,21.6,20.7,25.3,32.6,-6.11111,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
-0.888889,17.5,29,3,9.1,25.2,-0.222222,16.8,33.7,26.8,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
30.5,-15.1111,19.2,-5.66667,-7.77778,-26.2222,13.8,13.9,20.3,0,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
16.2,32.1,18.1,7.1,-1,-0.777778,-4.44444,-5,36.1,-4.77778,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
18.2,12.7,16.4,8.2,17.6,19.7,16.1,8.1,26.3,-1,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
22.1,34.7,27.9,15.7,14.5,22.5,20,28.9,29.9,6.6,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
-100,14.2,31.7,-5,7.3,-8.11111,5.9,-1.77778,22.2,-3.33333,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
16.1,-6.44444,-3,-1.33333,-5.33333,-1,5.2,16,33.7,4.6,,39.3,37.3,41.3,47.9,40.4,35.8,33.1,37.5,43.3,34,,38.99,4.24533862
